DATA,ABERTURA,MAXIMA,MINIMA,FECHAMENTO,BINARIO
2020-02-02 17:00:00,1.10939,1.10939,1.10921,1.10921,0.0
2020-02-02 17:05:00,1.1092,1.1092,1.10917,1.10917,0.0
2020-02-02 17:10:00,1.10918,1.10919,1.10916,1.10916,0.0
2020-02-02 17:15:00,1.10916,1.10918,1.10911,1.1091,0.0
2020-02-02 17:20:00,1.10909,1.10913,1.10884,1.10884,1.0
2020-02-02 17:25:00,1.10884,1.10907,1.10878,1.10903,0.0
2020-02-02 17:30:00,1.10903,1.10903,1.10858,1.10859,0.0
2020-02-02 17:35:00,1.10858,1.10858,1.10821,1.1083,1.0
2020-02-02 17:40:00,1.1083,1.10866,1.10823,1.10866,1.0
2020-02-02 17:45:00,1.10866,1.10885,1.10866,1.1088,0.0
2020-02-02 17:50:00,1.10879,1.10879,1.10871,1.10874,0.0
2020-02-02 17:55:00,1.10874,1.10874,1.1083,1.10846,1.0
2020-02-02 18:00:00,1.10851,1.10902,1.10851,1.10901,0.5
2020-02-02 18:05:00,1.109,1.109,1.10895,1.10901,0.0
2020-02-02 18:10:00,1.10904,1.10906,1.109,1.10895,0.0
2020-02-02 18:15:00,1.10894,1.10894,1.10888,1.1089,0.0
2020-02-02 18:20:00,1.1089,1.1089,1.10884,1.10884,1.0
2020-02-02 18:25:00,1.10884,1.10894,1.10884,1.10891,1.0
2020-02-02 18:30:00,1.10893,1.10896,1.10893,1.10902,0.0
2020-02-02 18:35:00,1.10903,1.10903,1.10893,1.10895,0.0
2020-02-02 18:40:00,1.10894,1.10896,1.1089,1.10885,1.0
2020-02-02 18:45:00,1.10884,1.10893,1.10884,1.10891,1.0
2020-02-02 18:50:00,1.10891,1.10896,1.10891,1.10894,0.0
2020-02-02 18:55:00,1.10894,1.10894,1.10888,1.1089,0.0
2020-02-02 19:00:00,1.1089,1.1089,1.10869,1.10872,1.0
2020-02-02 19:05:00,1.10873,1.10877,1.10858,1.10877,0.0
2020-02-02 19:10:00,1.10876,1.10876,1.1086,1.1086,1.0
2020-02-02 19:15:00,1.10859,1.10868,1.10859,1.10864,1.0
2020-02-02 19:20:00,1.10865,1.10868,1.10863,1.10866,0.0
2020-02-02 19:25:00,1.10866,1.10866,1.10863,1.10859,0.0
2020-02-02 19:30:00,1.1086,1.1086,1.10829,1.1083,0.0
2020-02-02 19:35:00,1.10831,1.10831,1.1081,1.10819,0.0
2020-02-02 19:40:00,1.10819,1.10819,1.10812,1.1081,0.5
2020-02-02 19:45:00,1.1081,1.10811,1.10804,1.1081,0.0
2020-02-02 19:50:00,1.10811,1.1082,1.10811,1.10804,1.0
2020-02-02 19:55:00,1.10805,1.1082,1.10805,1.10817,0.0
2020-02-02 20:00:00,1.10817,1.10822,1.10808,1.10808,0.0
2020-02-02 20:05:00,1.10808,1.10808,1.10803,1.10804,1.0
2020-02-02 20:10:00,1.10805,1.10816,1.10805,1.10815,0.0
2020-02-02 20:15:00,1.10815,1.10817,1.10803,1.10805,1.0
2020-02-02 20:20:00,1.10805,1.10846,1.10805,1.1085,1.0
2020-02-02 20:25:00,1.1085,1.10871,1.10846,1.10871,0.0
2020-02-02 20:30:00,1.1087,1.1087,1.10834,1.10845,0.0
2020-02-02 20:35:00,1.10845,1.10851,1.1084,1.10835,0.0
2020-02-02 20:40:00,1.10834,1.10845,1.10827,1.10827,0.0
2020-02-02 20:45:00,1.10828,1.10828,1.10814,1.10821,1.0
2020-02-02 20:50:00,1.10822,1.10825,1.10819,1.10824,1.0
2020-02-02 20:55:00,1.10824,1.10826,1.10823,1.1083,1.0
2020-02-02 21:00:00,1.10832,1.10846,1.10825,1.10844,0.0
2020-02-02 21:05:00,1.10844,1.10844,1.10823,1.10824,1.0
2020-02-02 21:10:00,1.10823,1.10837,1.10823,1.10836,0.0
2020-02-02 21:15:00,1.10836,1.10836,1.10825,1.1082,1.0
2020-02-02 21:20:00,1.1082,1.10826,1.10815,1.10825,0.0
2020-02-02 21:25:00,1.10825,1.10827,1.10821,1.10823,0.0
2020-02-02 21:30:00,1.10823,1.10826,1.10815,1.10822,1.0
2020-02-02 21:35:00,1.10821,1.10843,1.10821,1.10829,0.0
